ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0366-6352, 954925524758, [1985-], [1985-]
0369-3554, 954925524771, [1965-1996], [1965-1996]
0374-3535, 954925525792, [1971-], [1971-]
0374-4884, 954925525793, [1968-], [1968-]
0376-9429, 954925525809, [Record not found in Sirsi], [1965-]
0377-9017, 954925526816, [1975-], [1975-]
0378-1909, 954925526825, [1976-], [1976-]
0378-2697, 954925526827, [Record not found in Sirsi], [1851-]
0378-620X, 954925527846, [1978-], [1978-]
0378-7966, 954925527852, [1997-], [1997-]
0390-5551, 954925528884, [1978-], [1978-]
0392-0461, 954925529893, [1979-1999], [1979-1999]
0392-6737, 954925529899, [Record not found in Sirsi], [1982-1996]
0393-2990, 954925529906, [1985-], [1985-]
0393-697X, 954925529907, [1969-1999], [1949-1996]
0440-6605, 954925530928, [2004-], [2004-]
0543-1972, 954925531952, [1958-], [1958-]
0567-7718, 954925531962, [1985-], [1985-]
0570-1864, 954925531966, [1967-], [1967-]
0720-213X, 954925532000, [Record not found in Sirsi], [1924-]
0721-7595, 954925532003, [1982-], [1982-]
0721-7714, 954925532004, [1981-], [1981-]
0721-832X, 954925533005, [Record not found in Sirsi], [1854-]
0722-4028, 954925533008, [1982-], [1982-]
0722-4060, 954925533009, [1982-], [1982-]
0723-2632, 954925533014, [Record not found in Sirsi], [1969-]
0723-4864, 954925533015, [1983-], [1983-]
0723-5003, 954925533016, [1997-2010], [1997-2010]
0724-4983, 954925533018, [1983-], [1983-]
0724-8741, 954925533020, [1984-], [1984-]
0736-9387, 954925536110, [1998-], [1951-]
0740-7750, 954925539158, [Record not found in Sirsi], [1975-2002]
0741-238X, 954925539165, [2000-], [2000-]
0742-2091, 954925540175, [1984-], [1984-]
0743-3808, 954925541189, [1984-2004], [1984-2004]
0748-4518, 954925542210, [1985-], [1985-]
0770-3198, 954925544248, [1982-], [1982-]
0815-3191, 954925545267, [], [1972-]
0832-610X, 954925546284, [v.34(1987)-], [1954-]
0863-1808, 954925547296, [2000-], [2000-]
0869-5911, 954925547301, [2006-], [2006-]
0869-5938, 954925547302, [2006-], [2006-]
0882-2689, 954925548307, [Record not found in Sirsi], [1979-]
0882-8121, 954925548314, [Record not found in Sirsi], [1969-2007]
0883-6612, 954925549325, [1995-], [1995-]
0884-8734, 954925550344, [1986-], [1986-]
0884-8971, 954925550345, [1986-], [1986-]
0885-6125, 954925551358, [1986-], [1986-]
0885-7482, 954925551362, [1986-], [1986-]
0885-7490, 954925551363, [1986-], [1986-]
0889-3268, 954925555422, [1986-], [1986-]
0889-938X, 954925556434, [1984-], [1984-]
0890-5096, 954925556440, [1986-], [1986-]
0890-5487, 954925556444, [2011-], [2011-]
0891-2556, 954925557460, [1986-], [1986-]
0892-7537, 954925558480, [1987-], [1987-]
0892-7553, 954925558481, [1988-], [1988-]
0893-7648, 954925558500, [1987-], [1987-]
0894-587X, 954925559519, [Record not found in Sirsi], [1972-]
0894-8453, 954925559524, [Record not found in Sirsi], [1972-]
0894-9840, 954925559530, [1988-], [1988-]
0894-9867, 954925559531, [1988-], [1988-]
0894-9875, 954925559532, [1988-2006], [1988-2006]
0895-562X, 954925560544, [1989-], [1989-]
0895-5638, 954925560545, [1988-], [1988-]
0895-5646, 954925560546, [1988-], [1988-]
0895-8696, 954925560555, [1989-], [1989-]
0896-0267, 954925560559, [1988-], [1988-]
0896-1107, 954925560560, [1988-2005], [1988-2005]
0897-1889, 954925561568, [1988-], [1988-]
0910-8327, 954925563629, [1985-], [1985-]
0912-3814, 954925563631, [1986-], [1986-]
0914-7187, 954925563634, [1987-], [1987-]
0918-9440, 954925563653, [Record not found in Sirsi], [1972-]
0919-9268, 954925563656, [1994-], [1994-]
0920-1742, 954925564659, [1986-], [1986-]
0920-3206, 954925564660, [1987-], [1987-]
0920-4741, 954925564663, [1987-], [1987-]
